Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
2691,Andros Townsend,ENG,MF,Everton,Premier League,30,50.39397054,1.3,1517,51.93559438,0.19,1580,54.09386776,2.53,2849,97.56766016,0.37,809,28.18276945,1.79,1715,58.71873929,18.6,2029,69.47584789,2.72,2769,94.82699555
2692,Adama Traoré,ESP,FWDF,Barcelona,La Liga,26,40.52757794,1.19,1406,48.13292223,0.24,1740,59.57519699,0.95,1376,47.105173,0.24,672,23.40425532,0.71,678,23.19287427,9.76,672,22.98732443,1.19,1207,41.31551901
2693,Adama Traoré,ESP,FW,Wolves,Premier League,26,27.95477903,0.34,664,22.71325797,0.08,1154,39.49982871,0.59,832,28.46865365,0.17,619,21.55563307,1.01,924,31.62041795,11.8,969,33.1620418,0.67,680,23.26139089
2694,Amadou Traore,FRA,FW,Bordeaux,Ligue 1,20,79.75334018,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,20,2207,75.57382665,0,1,0
2695,Bertrand Traoré,BFA,MFFW,Aston Villa,Premier League,26,51.59301131,0,1,0,0,1,0,0,1,0,0.42,859,29.9267527,0.83,741,25.35114765,11.3,893,30.55841041,0,1,0
2696,Boubacar Traoré,MLI,MF,Metz,Ligue 1,20,78.0061665,1.61,1858,63.61767729,0.42,2172,74.37478589,1.41,2145,73.44981158,0.94,1389,48.41297524,2.86,2545,87.15313464,29.2,2769,94.82699555,1.82,2091,71.59986297
2697,Charles Traore,MLI,DF,Nantes,Ligue 1,30,72.01096266,2.75,2749,94.14182939,0.5,2313,79.20520726,2.13,2759,94.48441247,3.75,2524,88.00139519,3.38,2752,94.24460432,18.5,2011,68.85919836,2.63,2741,93.86776293
2698,Hamari Traoré,MLI,DF,Rennes,Ligue 1,30,63.75471052,1.65,1908,65.33059267,0.28,1861,63.72045221,1.56,2334,79.92463172,2.27,2165,75.4795954,1.93,1855,63.51490236,11,854,29.22233642,1.84,2127,72.83316204
2699,Ismaël Traoré,CIV,DF,Angers,Ligue 1,35,55.36142515,2.13,2387,81.74032203,0.56,2375,81.32922234,0.76,1067,36.51935594,3.61,2500,87.16428322,0.87,766,26.20760534,7.28,416,14.21719767,1.32,1387,47.48201439
2700,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,31,25.65947242,0,1,0,0,1,0,0,1,0,0.03,521,18.13742588,0,1,0,0.16,208,7.091469681,0,1,0
2701,Miguel Trauco,PER,DF,Saint-Étienne,Ligue 1,29,46.28297362,2.18,2426,83.07639603,0.4,2134,73.0729702,1.29,1956,66.97499144,1.69,1928,67.21311475,2.34,2215,75.84789311,10.7,811,27.74922919,1.69,1939,66.39260021
2702,Óscar Trejo,ARG,MF,Rayo Vallecano,La Liga,34,58.65022268,0.76,1021,34.94347379,0.04,1029,35.21754025,1.17,1749,59.88352175,0.63,1063,37.04220439,1.93,1855,63.51490236,25.5,2669,91.40116478,1.21,1225,41.93216855
2703,Trézéguet,EGY,FW,Aston Villa,Premier League,27,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2704,Manu Trigueros,ESP,MFFW,Villarreal,La Liga,30,41.58958547,0.5,793,27.13257965,0.12,1309,44.80986639,0.95,1376,47.105173,0.62,1055,36.76316707,1.78,1703,58.3076396,20.2,2266,77.5950668,1.07,1083,37.06748887
2705,Simone Trimboli,ITA,MF,Sampdoria,Serie A,20,64.81671805,1.43,1653,56.59472422,1.43,2870,98.28708462,1.43,2164,74.10071942,0,1,0,4.29,2859,97.91024323,20,2207,75.57382665,2.86,2794,95.68345324
2706,Christopher Trimmel,AUT,DF,Union Berlin,Bundesliga,35,78.34874957,2.31,2540,86.9818431,0.14,1396,47.79033916,1.58,2362,80.88386434,3.48,2484,86.60620858,2.31,2190,74.99143542,11.9,982,33.60739979,1.72,1976,67.66015759
2707,Francisco Trincão,POR,FWMF,Wolves,Premier League,22,38.1294964,1.01,1250,42.78862624,0.07,1119,38.30078794,1.35,2064,70.67488866,0.07,569,19.81164981,1.96,1880,64.37136005,22.8,2506,85.81706064,1.42,1529,52.34669407
